int,string,int,float,float,float,float,float,float
month,name,type,中国,欧洲,北美,南美,亚洲,非洲
1 ,冰箱  ,1,212.34,573.28,721.25,321.64,155.24,221.11 
2 ,彩电  ,1, 94.26,447.78,735.64,863.74,545.34,102.09
3 ,空调  ,1,158.53,231.84,260.46,138.84,132.21,153.48
4 ,童装  ,2,163.07,166.42,141.56, 54.94, 27.17,132.93
5 ,灯具  ,2,164.61,171.35,132.04, 30.25, 33.94, 42.32
6 ,皮鞋  ,2, 36.47,339.41,367.39,373.49, 42.26,139.44
7 ,纺织品,3,176.89,324.75,321.98,142.54,165.38,183.26
8 ,纸品  ,3,180.45,150.14,200.87,170.34,133.32,111.12
9 ,塑料  ,3,158.15,125.03,135.23, 98.66,147.35,187.99
10,大米  ,4,523.14,665.58,887.33,368.17,499.54,515.69
11,小麦  ,4,563.26,687.12,854.63,548.63,154.58,698.17
12,食用油,4,356.36,584.45,458.36,987.53,158.17,358.98
