timestamp,double,double
acq_date,ACQ_9010,ACQ_9020
2005-01-01 00:00:00.0,1604.26,4291.47
2005-01-02 00:00:00.0,2302.71,4857.45
2005-01-03 00:00:00.0,3022.13,5387.72
2005-01-04 00:00:00.0,3594.83,5984.0
2005-01-05 00:00:00.0,4256.72,6597.29
2005-01-06 00:00:00.0,4846.41,7274.39
2005-01-07 00:00:00.0,5362.49,8009.14
2005-01-08 00:00:00.0,5927.63,8710.53
2005-01-09 00:00:00.0,6479.05,9365.34
2005-01-10 00:00:00.0,7082.87,9938.2
2005-01-11 00:00:00.0,7695.56,10452.71
2005-01-12 00:00:00.0,8254.37,10929.81
2005-01-13 00:00:00.0,8853.66,11465.55
2005-01-14 00:00:00.0,9474.88,12067.98
2005-01-15 00:00:00.0,10049.2,12675.02
