int,string,float,float,float,float,float,float
year,name        , 北京, 上海, 广州, 杭州, 成都, 武汉
2002,家电        ,80.45,50.14,20.87,70.34,33.32,31.12
2002,机动车      ,75.03,60.12,10.34,45.34,30.18,34.93
2002,服装        ,65.05,74.32,14.98,34.34,43.83,39.26
2002,食品饮料烟酒,57.17,15.43,14.45,37.71,99.65,65.32
2002,建材装饰    ,62.65,24.37,32.74,24.65,49.65,73.58
2002,小商品      ,52.62,53.02,25.14,36.38,29.40,98.62
2002,文化音像    ,89.65,55.49,76.34,84.45,53.09,32.09
2002,干鲜果品    ,29.30,94.30,70.73,38.29,19.47,46.87

2003,家电        ,64.84,75.93,38.05,12.56,58.28,30.34
2003,机动车      ,63.07,66.42,41.56,54.94,27.17,32.93
2003,服装        ,83.33,87.15,87.63,35.02,38.39,41.22
2003,食品饮料烟酒,71.37,22.41,20.56,92.89,10.23,55.27 
2003,建材装饰    ,65.12,34.83,30.36,40.86,54.39,69.25
2003,小商品      ,74.85,36.29,34.98,63.38,35.40,33.62
2003,文化音像    ,92.24,42.49,56.34,75.45,53.23,36.38
2003,干鲜果品    ,21.64,55.30,63.73,89.29,12.39,41.42

2004,家电        ,95.21,42.78,80.68,32.54,63.42,33.24
2004,机动车      ,52.67,72.88,36.53,55.47,28.45,35.14
2004,服装        ,64.61,71.35,32.04,30.25,33.94,42.32
2004,食品饮料烟酒,67.31,43.15,34.41,52.63,12.37,56.24
2004,建材装饰    ,64.62,35.35,46.57,31.34,56.24,74.17
2004,小商品      ,62.21,33.63,39.56,80.63,40.55,32.43
2004,文化音像    ,85.34,42.23,74.14,83.21,54.36,50.32
2004,干鲜果品    ,27.58,61.24,71.43,33.35,25.35,45.43

2005,家电        ,60.59,33.32,63.89,66.36,57.23,42.42
2005,机动车      ,64.35,33.25,41.14,61.21,31.76,41.31
2005,服装        ,65.87,36.79,54.38,28.18,29.38,49.57
2005,食品饮料烟酒,58.53,31.84,60.46,38.84,32.21,53.48
2005,建材装饰    ,76.89,34.75,31.98,42.54,65.38,83.26
2005,小商品      ,66.47,39.41,67.39,73.49,42.26,59.44
2005,文化音像    ,94.26,47.78,75.64,86.74,55.34,54.09
2005,干鲜果品    ,22.34,73.28,71.25,31.64,55.24,42.11
