int,string,int,int,int,int
id,name,sex,grade,nianji,move_type
1,a,0,0,1,0
2,a,0,0,4,3
3,a,1,0,4,1
4,a,1,1,1,2
5,a,1,2,1,4
6,a,1,1,0,3
7,a,0,0,4,1
8,a,0,1,1,6
9,a,0,0,5,0
10,a,1,0,1,3
11,a,1,0,4,1
12,a,1,1,1,10
13,a,1,2,2,0
14,a,1,0,5,11
15,a,0,2,4,5
16,a,1,1,0,2
17,a,0,0,1,0
18,a,1,0,3,12
19,a,1,0,4,1
20,a,0,1,1,2
21,a,0,0,2,0
22,a,0,2,1,7
23,a,0,0,4,1
24,a,0,1,1,12
25,a,0,0,0,14
26,a,0,0,1,3
27,a,1,0,4,10
28,a,0,1,1,2
29,a,1,0,4,0
30,a,0,0,0,3
31,a,1,2,4,1
32,a,1,1,0,8
33,a,0,2,2,9
34,a,0,2,0,2
35,a,1,2,4,10
36,a,0,1,0,11
37,a,0,2,0,8
38,a,1,1,0,13
39,a,0,1,2,12
40,a,0,1,1,15
41,a,1,1,2,16
42,a,0,1,2,19
43,a,0,2,1,18
44,a,1,2,2,17
45,a,1,1,0,2
46,a,0,1,2,3
47,a,1,1,1,15
48,a,1,1,2,5
49,a,0,2,2,9
50,a,1,2,1,5
51,a,1,2,2,17
