int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
xuehao,yuwen,shuxue,wuli,huaxue,zz,dili,shengwu,lishi,tiyu,meishu,yingyu,shijian,yuwen_bk,shuxue_bk,yingyu_bk,huaxue_bk,zz_bk,dili_bk,shengwu_bk,lishi_bk,yingyu_bk,wuli_bk
1,60,87,54,90,78,96,66,90,77,90,73,66,0,0,0,0,0,0,0,0,0,80
2,77,87,67,90,74,90,66,60,70,90,99,90,0,0,0,0,0,0,0,0,0,0
3,78,97,66,90,78,96,60,70,70,93,49,65,0,0,85,0,0,0,0,0,0,0
4,60,67,76,90,79,57,65,90,77,90,56,70,0,0,80,0,0,67,0,0,0,0
5,60,84,68,90,78,96,87,90,69,90,73,66,0,0,0,0,0,0,0,0,0,0
6,77,100,83,90,74,80,98,60,77,90,74,90,0,0,0,0,0,0,0,0,0,0
7,78,87,85,90,78,76,45,70,89,93,77,65,0,0,0,0,0,0,70,0,0,0
8,90,79,63,90,79,65,66,80,70,90,66,66,0,0,0,0,0,0,0,0,0,0
9,60,84,67,80,66,96,76,90,87,90,70,66,0,0,0,0,0,0,0,0,0,0
10,77,92,78,99,74,90,66,60,90,90,80,90,0,0,0,0,0,0,0,0,0,0
11,78,47,77,90,78,96,60,70,65,93,79,65,0,60,0,0,0,0,0,0,0,0
12,54,93,90,67,79,55,99,90,77,90,73,87,63,0,0,0,0,63,0,0,0,0
13,60,87,65,98,78,96,66,90,77,90,89,62,0,0,0,0,0,0,0,0,0,0
14,77,93,73,67,74,90,91,60,77,90,99,90,0,0,0,0,0,0,0,0,0,0
15,78,99,93,35,78,78,66,70,77,93,92,65,0,0,0,75,0,0,0,0,0,0
16,58,87,93,56,79,46,86,76,65,78,72,61,80,0,0,75,0,70,0,0,0,0
17,60,88,74,90,78,96,87,90,69,90,79,66,0,0,0,0,0,0,0,0,0,0
18,77,87,62,90,74,80,66,60,77,90,66,90,0,0,0,0,0,0,0,0,0,0
19,78,100,71,90,78,76,65,70,89,93,72,65,0,0,0,0,0,0,0,0,0,0
20,59,87,91,90,79,75,66,40,90,90,75,80,78,0,0,0,0,0,0,60,0,0
21,60,87,64,80,66,96,76,90,87,90,79,66,0,0,0,0,0,0,0,0,0,0
22,77,52,80,99,74,90,66,60,90,100,65,90,0,66,0,0,0,0,0,0,0,0
