string,int,int,int,int,int,int,int,int,int
name,grade,nianji,fushiban,sex,nation,zhushu,qita,hukou,liuji
a,0,0,0,1,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,1,4,0
a,0,0,0,0,1,0,0,0,0
a,0,0,0,1,0,0,1,1,0
a,0,0,0,1,0,0,0,0,0
a,0,0,0,0,1,1,0,0,0
a,0,0,0,0,0,0,0,1,1
a,0,0,1,1,0,0,0,1,0
a,0,0,0,0,1,0,0,3,0
a,0,0,1,1,2,0,0,0,0
a,0,0,1,0,1,0,0,2,0
a,0,0,1,1,0,0,1,0,0
a,0,0,0,1,1,0,1,0,1
a,0,0,0,0,1,0,1,0,0
a,0,0,0,0,0,0,1,2,0
a,0,0,0,1,0,0,0,0,0
a,0,0,0,0,1,1,0,0,0
a,0,0,0,1,0,1,0,0,0
a,0,0,0,0,0,1,1,3,0
a,0,0,0,1,0,1,0,0,0
a,0,0,0,1,0,0,1,0,0
a,0,0,0,0,0,0,0,0,0
a,0,1,0,1,0,0,0,3,1
a,0,1,0,1,0,0,0,0,0
a,0,1,1,0,0,0,0,0,0
a,0,1,0,1,2,0,1,4,0
a,0,1,0,0,1,0,0,0,0
a,0,1,1,1,0,0,1,1,0
a,0,1,0,1,0,0,0,0,0
a,0,1,0,0,1,1,0,0,0
a,0,1,0,0,1,0,0,1,1
a,0,1,1,1,0,0,0,1,0
a,0,1,0,0,1,0,0,3,0
a,0,1,1,1,0,1,0,0,0
a,0,1,1,0,1,1,0,2,0
a,0,1,1,1,0,0,1,0,0
a,0,1,0,1,1,0,1,0,1
a,0,1,0,0,1,0,1,0,0
a,0,1,0,0,0,0,1,2,0
a,0,1,0,1,1,1,0,1,0
a,0,1,0,0,1,1,0,0,0
a,0,1,0,1,1,1,0,0,0
a,0,1,0,0,0,1,1,1,0
a,0,1,0,1,0,1,0,0,0
a,0,1,0,1,0,0,1,0,0
a,0,1,0,0,0,0,0,2,0
a,0,1,0,1,0,0,0,3,1
a,0,2,0,1,0,0,0,0,0
a,0,2,1,0,0,0,0,0,0
a,0,2,0,1,0,0,1,3,0
a,0,2,0,0,1,0,0,0,0
a,0,2,0,1,0,0,1,1,0
a,0,2,0,1,0,0,0,0,0
a,0,2,0,0,1,1,0,0,0
a,0,2,0,0,0,0,0,1,1
a,0,2,1,1,0,0,0,1,0
a,0,2,0,0,1,0,0,4,0
a,0,2,1,1,0,0,0,0,0
a,0,2,1,0,1,0,0,2,0
a,0,2,1,1,0,0,1,0,0
a,0,2,0,1,1,0,1,0,1
a,0,2,1,1,1,1,1,1,0
a,0,2,0,0,0,0,1,2,0
a,0,2,0,1,0,0,0,0,0
a,0,2,0,1,0,0,0,3,1
a,0,3,0,1,0,0,0,0,0
a,0,3,1,0,0,0,0,0,0
a,0,3,0,1,0,0,1,4,0
a,0,3,0,0,1,0,0,0,0
a,0,3,0,1,0,0,1,1,0
a,0,3,0,1,0,0,0,0,0
a,0,3,0,0,1,1,0,0,0
a,0,3,0,0,0,0,0,1,1
a,0,3,1,1,0,0,0,1,0
a,0,3,0,0,1,0,0,4,0
a,0,3,1,1,0,0,0,0,0
a,0,3,1,0,1,0,0,2,0
a,0,3,1,1,0,0,1,0,0
a,0,3,0,1,1,0,1,1,1
a,0,3,0,0,1,0,1,0,0
a,0,3,1,0,1,0,0,2,0
a,0,3,1,1,0,0,1,0,0
a,0,3,0,1,1,0,1,1,1
a,0,3,0,0,1,0,1,0,0
a,0,4,1,1,1,1,0,0,0
a,0,4,1,0,0,0,0,0,0
a,0,4,0,1,0,0,1,4,0
a,0,4,0,0,1,0,0,0,0
a,0,4,0,1,0,0,1,1,0
a,0,4,0,1,0,0,0,0,0
a,0,4,0,0,1,1,0,0,0
a,0,4,0,0,0,0,0,1,1
a,0,4,1,1,0,0,0,1,0
a,0,4,0,0,1,0,0,4,0
a,0,4,1,1,0,0,0,0,0
a,0,4,1,0,1,0,0,2,0
a,0,4,1,1,0,0,1,0,0
a,0,4,0,1,1,0,1,0,1
a,0,4,1,1,1,1,1,1,0
a,0,4,0,0,0,0,1,2,0
a,0,4,0,1,0,0,0,0,0
a,0,4,0,1,0,0,0,3,1
a,0,5,0,1,0,0,0,0,0
a,0,5,1,0,0,0,0,0,0
a,0,5,0,1,0,0,1,1,0
a,0,5,0,1,0,0,0,0,0
a,0,5,0,0,1,1,0,0,0
a,0,5,0,0,0,0,0,1,1
a,0,5,1,1,0,0,0,1,0
a,0,5,0,0,1,0,0,4,0
a,0,5,1,1,0,0,0,0,0
a,0,5,0,1,1,0,1,0,1
a,0,5,1,1,1,1,1,1,0
a,0,5,0,0,0,0,1,2,0
a,0,5,0,1,0,0,0,0,0
a,0,5,0,1,0,0,0,3,1
a,0,5,0,1,0,0,0,0,0
a,0,5,1,0,0,0,0,0,0
a,0,5,0,1,0,0,1,3,0
a,0,5,0,0,1,0,0,0,0
a,0,5,0,1,0,0,1,1,0
a,0,5,0,1,0,0,0,0,0
a,0,5,0,0,1,1,0,0,0
a,0,5,0,0,0,0,0,1,1
a,0,5,1,1,0,0,0,1,0
a,0,5,1,1,1,1,1,1,0
a,0,5,0,0,0,0,1,2,0
a,0,5,0,1,0,0,0,0,0
a,0,5,0,1,0,0,0,3,1
a,1,0,0,0,1,1,0,0,0
a,1,0,0,0,0,0,0,1,1
a,1,0,1,1,0,0,0,1,0
a,1,0,0,0,1,0,0,2,0
a,1,0,1,1,0,0,0,0,0
a,1,0,1,1,1,0,0,2,0
a,1,0,1,1,0,0,1,0,0
a,1,0,0,1,1,0,1,0,1
a,1,0,0,0,1,0,1,0,0
a,1,0,0,0,0,0,1,2,0
a,1,0,0,1,0,0,0,0,0
a,1,0,0,0,1,1,0,0,0
a,1,0,0,1,0,1,0,0,0
a,1,0,0,0,0,1,1,3,0
a,1,0,0,1,0,1,0,0,0
a,1,0,0,1,0,0,1,0,0
a,1,0,0,0,0,0,0,0,0
a,1,1,0,1,0,0,0,3,1
a,1,1,0,1,0,0,0,2,0
a,1,1,1,0,0,0,0,0,0
a,1,1,0,1,0,0,1,4,0
a,1,1,0,0,1,0,0,0,0
a,1,1,1,0,0,0,1,1,0
a,1,1,0,0,0,0,1,0,0
a,1,1,0,0,1,1,1,0,0
a,1,1,0,0,1,0,0,1,1
a,1,1,1,1,0,0,0,1,0
a,1,1,0,0,1,0,0,4,0
a,1,1,1,1,0,1,0,0,0
a,1,1,1,0,1,1,0,2,0
a,1,1,1,1,0,0,1,0,0
a,1,1,0,1,1,0,1,0,1
a,1,1,0,0,1,0,1,0,0
a,1,1,0,0,0,0,1,2,0
a,1,1,0,1,1,1,0,1,0
a,1,1,0,0,1,1,0,0,0
a,1,1,0,1,1,1,0,0,0
a,1,1,0,0,0,1,1,1,0
a,1,1,0,1,0,1,0,0,0
a,1,1,0,1,0,0,1,0,0
a,1,1,0,0,0,0,0,2,0
a,1,1,0,1,0,0,0,3,1
a,1,2,0,1,0,0,0,0,0
a,1,2,1,0,0,0,0,0,0
a,1,2,0,1,0,0,1,3,0
a,1,2,0,0,1,0,0,0,0
a,1,2,0,1,0,0,1,1,0
a,1,2,0,1,0,0,0,0,0
a,1,2,0,0,1,1,0,0,0
a,1,2,0,0,0,0,0,1,1
a,1,2,1,1,0,0,0,1,0
a,1,2,0,0,1,0,0,3,0
a,1,2,1,1,0,0,0,0,0
a,1,2,1,0,1,0,0,2,0
a,1,2,1,1,0,0,1,0,0
a,1,2,0,1,1,0,1,0,1
a,1,2,1,1,1,1,1,1,0
a,1,2,0,0,0,0,1,2,0
a,1,2,0,1,0,0,0,0,0
a,1,2,0,1,0,0,0,3,1
a,2,0,0,0,1,1,0,0,0
a,2,0,0,0,0,0,0,1,1
a,2,0,1,1,0,0,0,0,0
a,2,0,1,1,1,0,0,2,0
a,2,0,1,1,0,0,1,0,0
a,2,0,0,1,1,0,1,0,1
a,2,0,0,0,1,0,1,0,0
a,2,0,0,0,0,0,1,2,0
a,2,0,0,1,0,0,0,0,0
a,2,0,0,0,1,1,0,0,0
a,2,0,0,1,0,1,0,0,0
a,2,0,0,0,0,1,1,3,0
a,2,0,0,1,0,1,0,0,0
a,2,0,0,1,0,0,1,0,0
a,2,0,0,0,0,0,0,0,0
a,2,1,0,1,0,0,0,3,1
a,2,1,0,1,0,0,0,0,0
a,2,1,1,0,0,0,0,0,0
a,2,1,0,1,0,0,1,2,0
a,2,1,0,0,1,0,0,0,0
a,2,1,1,0,0,0,1,1,0
a,2,1,0,0,0,0,1,0,0
a,2,1,0,0,1,1,1,0,0
a,2,1,0,0,1,0,0,1,1
a,2,1,1,1,0,0,0,1,0
a,2,1,0,0,1,0,0,4,0
a,2,1,1,1,0,1,0,0,0
a,2,1,1,0,1,1,0,2,0
a,2,1,1,1,0,0,1,0,0
a,2,1,0,1,1,0,1,0,1
a,2,1,0,0,1,0,1,0,0
a,2,1,0,0,0,0,1,2,0
a,2,1,0,1,1,1,0,1,0
a,2,1,0,0,1,1,0,0,0
a,2,1,0,1,1,1,0,0,0
a,2,1,0,0,0,1,1,1,0
a,2,1,0,1,0,1,0,0,0
a,2,1,0,1,0,0,1,0,0
a,2,1,0,0,0,0,0,2,0
a,2,1,0,1,0,0,0,3,1
a,2,2,0,1,0,0,0,0,0
a,2,2,1,0,0,0,0,0,0
a,2,2,0,1,0,0,1,4,0
