int,string,double,double,double,int,double,double,double
cg_king,cg_what,plan_before,comlete,plan_later,grade,zijin_before,zijin_complete,zijin_later
0,新建,100,40,60,0,600000,400000,200000
0,翻建,85,60,20,0,300000,180000,120000
0,大修,223,156,67,0,60000,40000,20000
1,课桌椅,200,200,0,0,100000,100000,0
1,柜子,150,150,0,0,150000,150000,150000
1,床,150,150,0,0,110000,110000,110000
2,一类,400,360,40,0,45600,34000,11600
2,二类,560,360,200,0,3000,2000,1000
2,三类,420,150,290,0,5000,3400,1600
2,信息设备,5,4,1,0,1200000,1000000,200000
2,一类,400,360,40,1,5000,3600,1400
2,二类,560,360,200,1,7800,4500,3300
2,三类,420,150,290,1,7800,4500,3300
2,信息设备,2,2,2,1,200000,200000,200000
3,信息管理系统,3,1,2,0,900000,800000,1600000
4,册数,7000,5000,2000,1,3000,2000,1000
4,册数,5000,4600,400,0,2500,2000,500
5,行政管理人员,10,7,3,0,150000,100000,50000
5,小学校长,1,1,0,0,20000,25000,0
5,中学校长,1,0,1,1,30000,0,30000
5,双语教师,3,2,1,0,40000,30000,15000
5,复式教师,12,10,2,0,100000,80000,20000
5,计算机教师,3,3,0,1,20000,20000,0
5,试验课教师,4,4,0,1,20000,20000,0
5,图书管理人员,1,0,1,1,20000,20000,0
5,继续教育,0,0,0,1,0,0,0
5,学历达标,2,2,0,1,5800,8000,0

