String,String,String,float,float,float,float,float,float,float,float,float,float
物料号,货源,质量档次,出口出口数量,出口出口金额,出口内销数量,出口内销金额,出口样品数量,出口样品金额,深圳出口数量,深圳出口金额,深圳内销数量,深圳内销金额
93-02,3,合计,0,0,0,0,0,0,0,0,125092.2,700021.13
,,出口,0,0,0,0,0,0,0,0,125092.2,700021.13
95-3,3,合计,27432.5,166367.7,0,0,0,0,15362.2,94556.45,0,0
,,出口,27432.5,166367.7,0,0,0,0,15362.2,94556.45,0,0
2001-4,3,合计,0,0,0,0,0,0,0,0,0,0
,,出口,0,0,0,0,0,0,0,0,0,0
2002-23,3,合计,0,0,0,0,0,0,0,0,3950.1,27009.23
,,出口,0,0,0,0,0,0,0,0,3950.1,27009.23
2002-23B,3,合计,0,0,0,0,0,0,0,0,0,0
,,出口,0,0,0,0,0,0,0,0,0,0
2002-48,3,合计,0,0,0,0,0,0,0,0,8778,65272.31
,,出口,0,0,0,0,0,0,0,0,8778,65272.31
,,另拼,0,0,0,0,0,0,0,0,0,0
2002-80,3,合计,0,0,0,0,0,0,0,0,0,0
,,出口,0,0,0,0,0,0,0,0,0,0
2002-110,3,合计,43890,373458.24,0,0,0,0,0,0,0,0
,3,出口,43890,373458.24,0,0,0,0,0,0,0,0
,3,另拼,0,0,0,0,0,0,0,0,0,0
,3,另次,0,0,0,0,0,0,0,0,0,0

