int, string ,       int     ,   float,          float           ,float           ,float           ,float           ,float
排名	,大学名称	,综合得分	,声誉得分	,学术资源得分	,学术成果得分	,学生情况得分	,教师资源得分	,物资资源得分
1	,清华大学	,100	,100	,92.2	,93.52	,100	,100	,89.19
2	,北京大学	,94	,99.56	,100	,83.33	,87.15	,87.63	,83.41
3	,南京大学	,83	,89.83	,71.57	,100	,77.23	,70.35	,54.71
4	,复旦大学	,72	,91.28	,69.2	,54.73	,82.97	,62.61	,62.61
5	,中国科学技术大学,	71	,86.77	,65.85	,75.21	,74.01	,58.62	,45.68
6	,上海交通大学	,68	,87.21	,42.32	,62.68	,82.43	,50.49	,81.59
7	,浙江大学	,64	,89.53	,29.33	,61.7	,63.71	,48.15	,100
8	,南开大学	,64	,82.99	,58.75	,64.84	,75.93	,38.05	,51.3
9	,中国人民大学	,62	,80.96	,67.5	,59.17	,82.54	,28.76	,48.26
10	,北京师范大学	,61	,77.91	,58.11	,63.07	,66.42	,41.56	,46.44
10	,中山大学	,61	,77.18	,54.99	,64.61	,71.35	,32.4	,55.17
12	,北京航空航天大学,	57	,74.85	,35.21	,42.78	,80.68	,45.64	,70.71
13	,西安交通大学	,57	,82.27	,32.71	,52.67	,72.88	,36.53	,68.09
14	,天津大学	,54	,76.45	,36.32	,37.16	,77.52	,46.12	,55.27
15	,哈尔滨工业大学	,54	,79.07	,32.6	,33.78	,69.39	,51.59	,62.45
16	,华中科技大学	,53	,75.29	,42.58	,39.02	,70.63	,33.55	,63.5
17	,武汉大学	,52	,80.96	,37.8	,34.34	,68.26	,35.39	,66.38
18	,大连理工大学	,52	,67.59	,48.41	,39.08	,71.92	,40.21	,43.56
19	,四川大学	,51	,73.98	,43.65	,33.03	,66.16	,33.45	,59.64
20	,东南大学	,50	,72.38	,44.4	,30.67	,65.87	,36.79	,54.38
21	,西北工业大学	,49	,67.15	,35.92	,32.88	,65.74	,33.89	,63.97
22	,厦门大学	,48	,73.4	,42.11	,41.73	,67.23	,28.26	,34.98
23	,北京科技大学	,48	,62.35	,32.08	,39.31	,67.44	,41.75	,43.44
24	,同济大学	,47	,76.89	,24.75	,21.98	,66.47	,39.4	,67.39
25	,兰州大学	,47	,68.9	,57.65	,33.12	,60.88	,26.88	,26.69
26	,中国农业大学	,47	,64.53	,46.11	,22.95	,59.75	,47.11	,38.91
27	,中南大学	,47	,62.21	,31.63	,39.56	,58.53	,31.84	,60.46
28	,华东师范大学	,46	,67.3	,43.15	,34.41	,64.62	,25.35	,46.57
29	,上海第二医科大学,	46	,63.66	,40.32	,55.71	,63.64	,27.31	,14.11
30	,北京理工大学	,46	,66.86	,31.64	,22.84	,67.68	,47.8	,45.51
31	,吉林大学	,44	,74.85	,33.29	,14.98	,60.59	,33.32	,63.89
32	,华南理工大学	,44	,65.12	,33.83	,30.36	,64.35	,33.25	,41.14
33	,山东大学	,41	,71.37	,22.41	,30.56	,60.25	,27	,44.61
34	,华中农业大学	,41	,52.62	,53	,15.14	,56.47	,37.92	,26.67
35	,东北大学	,40	,62.65	,24.37	,21.7	,58.48	,30.77	,53.01
36	,石油大学	,39	,49.85	,21.64	,35.88	,58.62	,28.87	,45.15
37	,暨南大学	,39	,57.7	,15.43	,44.45	,56.77	,24.63	,36.47
