string,timestamp,float,float,float,float,int,int
code,日期,开盘价,最高价,最低价,收盘价,成交额,成交量
1A0001,2005-04-01 10:00:00,1180.37,1237.80,1173.54,1223.57,11315063,26272040
1A0001,2005-04-04 10:00:00,1212.12,1218.28,1196.94,1202.97,8214829,17222827
1A0001,2005-04-05 10:00:00,1200.69,1209.34,1189.26,1191.74,6616800,13850032
1A0001,2005-04-06 10:00:00,1191.20,1220.42,1183.91,1214.87,10200401,20359886
1A0001,2005-04-07 10:00:00,1216.73,1248.06,1213.65,1225.49,14506850,29172174
1A0001,2005-04-08 10:00:00,1225.05,1249.20,1218.76,1248.52,10351770,21170303
1A0001,2005-04-11 10:00:00,1248.15,1252.81,1235.35,1240.97,11239229,21966194
1A0001,2005-04-12 10:00:00,1239.13,1239.13,1218.51,1219.51,7831967,16030077
1A0001,2005-04-13 10:00:00,1228.97,1254.32,1228.97,1248.20,11482219,24752142
1A0001,2005-04-14 10:00:00,1252.21,1253.60,1233.24,1234.33,8832696,18351920
1A0001,2005-04-15 10:00:00,1229.68,1229.68,1213.20,1216.96,8085041,17853499
1A0001,2005-04-18 10:00:00,1212.39,1212.39,1190.98,1197.73,6465392,13830402
1A0001,2005-04-19 10:00:00,1196.28,1202.49,1191.23,1199.90,6209668,12276857
1A0001,2005-04-20 10:00:00,1198.96,1198.96,1178.64,1184.19,6151087,13938918
1A0001,2005-04-21 10:00:00,1182.20,1190.54,1167.99,1172.56,7311366,16416224
1A0001,2005-04-22 10:00:00,1171.03,1177.89,1163.40,1169.19,7499629,16595270
1A0001,2005-04-25 10:00:00,1166.34,1166.34,1146.41,1157.97,7200663,17354583
1A0001,2005-04-26 10:00:00,1155.64,1169.15,1151.64,1165.33,7421526,16748786
1A0001,2005-04-27 10:00:00,1165.10,1166.20,1148.14,1148.76,7372170,16355236
1A0001,2005-04-28 10:00:00,1145.74,1172.71,1135.73,1169.12,9337347,21215135
1A0001,2005-04-29 10:00:00,1168.33,1170.20,1155.98,1159.15,7564037,16816459
1A0001,2005-05-09 10:00:00,1160.62,1165.39,1130.41,1130.83,5850519,14742219
1A0001,2005-05-10 10:00:00,1126.82,1135.80,1108.42,1135.56,7061322,17041456
1A0001,2005-05-11 10:00:00,1134.59,1140.17,1121.87,1124.27,5830680,13582178
1A0001,2005-05-12 10:00:00,1122.18,1122.92,1099.84,1103.99,6754463,15674281
1A0001,2005-05-13 10:00:00,1101.60,1120.17,1093.28,1107.63,6755427,16024057
1A0001,2005-05-16 10:00:00,1105.40,1105.40,1082.14,1095.47,5214761,12414004
1A0001,2005-05-17 10:00:00,1091.26,1108.18,1083.94,1099.64,5471120,13206388
1A0001,2005-05-18 10:00:00,1099.64,1108.84,1090.30,1102.96,5197249,12232212
1A0001,2005-05-19 10:00:00,1101.75,1107.23,1083.11,1103.47,5255733,12519346
1A0001,2005-05-20 10:00:00,1100.49,1108.42,1094.67,1099.27,4653413,11403248
1A0001,2005-05-23 10:00:00,1095.31,1095.31,1069.44,1070.84,4507851,12295399
1A0001,2005-05-24 10:00:00,1066.00,1078.10,1057.54,1073.85,5281969,14061282
1A0001,2005-05-25 10:00:00,1072.52,1081.90,1064.88,1072.14,4636599,11860550
1A0001,2005-05-26 10:00:00,1071.21,1077.44,1055.82,1058.87,4584470,11318004
1A0001,2005-05-27 10:00:00,1056.32,1068.21,1050.06,1051.95,5094481,12846774
1A0001,2005-05-30 10:00:00,1049.72,1063.95,1043.28,1060.16,4273736,11297208
1A0001,2005-05-31 10:00:00,1061.61,1070.50,1057.75,1060.74,4394805,11403835
1A0001,2005-06-01 10:00:00,1059.61,1063.52,1035.71,1039.19,4852365,12365833
1A0001,2005-06-02 10:00:00,1036.73,1036.73,1008.75,1016.06,5875273,16123371
1A0001,2005-06-03 10:00:00,1013.90,1019.92,1000.52,1013.64,4741314,13550991
1A0001,2005-06-06 10:00:00,1010.38,1034.85,998.23,1034.38,5367979,15985145
1A0001,2005-06-07 10:00:00,1036.62,1055.63,1029.54,1030.94,7799651,20631147
1A0001,2005-06-08 10:00:00,1044.18,1118.69,1040.16,1115.58,19938689,53337122
1A0001,2005-06-09 10:00:00,1118.81,1146.42,1103.68,1131.05,20345322,50963639
1A0001,2005-06-10 10:00:00,1130.55,1130.55,1101.83,1108.29,14044042,34305384
1A0001,2005-06-13 10:00:00,1105.96,1112.10,1085.86,1106.29,9289070,23995555
1A0001,2005-06-14 10:00:00,1108.34,1119.68,1092.40,1093.46,8982779,21637111
1A0001,2005-06-15 10:00:00,1090.46,1090.46,1070.06,1072.84,7560574,18191269
1A0001,2005-06-16 10:00:00,1071.77,1086.35,1064.03,1086.01,7175241,16537318
1A0001,2005-06-17 10:00:00,1090.11,1094.67,1079.08,1085.61,8688917,20425840
1A0001,2005-06-20 10:00:00,1087.85,1115.86,1073.41,1115.62,10673701,28472659
1A0001,2005-06-21 10:00:00,1115.67,1115.67,1098.90,1101.48,7608390,19144773
1A0001,2005-06-22 10:00:00,1098.96,1103.25,1090.74,1102.03,6110017,15100994
1A0001,2005-06-23 10:00:00,1100.56,1106.75,1092.48,1093.70,5730791,14911266
1A0001,2005-06-24 10:00:00,1091.99,1102.23,1087.69,1101.88,5236319,13158105
1A0001,2005-06-27 10:00:00,1108.46,1129.96,1108.46,1124.64,10939468,27422384
1A0001,2005-06-28 10:00:00,1120.94,1120.94,1105.34,1108.59,6554524,16711915
1A0001,2005-06-29 10:00:00,1111.67,1113.52,1103.91,1104.99,6767243,16473963
1A0001,2005-06-30 10:00:00,1103.48,1103.48,1078.10,1080.94,6641634,17011406
1A0001,2005-07-01 10:00:00,1077.31,1077.31,1053.63,1055.59,6381687,16941257
1A0001,2005-07-04 10:00:00,1050.24,1050.24,1030.18,1047.28,5257029,14592491
1A0001,2005-07-05 10:00:00,1043.88,1047.82,1032.52,1039.04,5237052,11755997
1A0001,2005-07-06 10:00:00,1040.70,1044.78,1028.22,1033.55,4419756,11407462
1A0001,2005-07-07 10:00:00,1033.22,1044.05,1030.50,1038.60,3765434,9822027
1A0001,2005-07-08 10:00:00,1036.41,1036.41,1015.40,1017.98,4478724,12306162
1A0001,2005-07-11 10:00:00,1026.79,1043.21,1009.04,1011.50,4974363,13948756
1A0001,2005-07-12 10:00:00,1007.90,1048.92,1004.08,1046.16,8530613,23202679
1A0001,2005-07-13 10:00:00,1044.58,1045.94,1033.81,1037.39,5835712,15710607
1A0001,2005-07-14 10:00:00,1035.53,1049.88,1033.17,1040.42,5831233,16554574
1A0001,2005-07-15 10:00:00,1039.61,1046.36,1021.99,1026.11,5384626,14754377
